t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
1.988403558731079,-3260.00,12712.00,9720.00,-1184.00,15.00,-206.00,-1.42
2.110435724258423,-3580.00,12760.00,9848.00,-1019.00,0.00,-172.00,-1.23
2.121436595916748,-3660.00,12868.00,10004.00,-1079.00,-34.00,-128.00,-1.23
2.168081283569336,-3684.00,12948.00,10212.00,-1031.00,-53.00,-107.00,-1.23
2.225287437438965,-3692.00,12912.00,9952.00,-1058.00,12.00,-64.00,-1.23
2.2830865383148193,-3628.00,12780.00,10060.00,-1013.00,56.00,-106.00,-1.16
2.3396995067596436,-3764.00,13032.00,9948.00,-1033.00,8.00,-126.00,-1.16
2.39807391166687,-3960.00,12424.00,10488.00,-1030.00,32.00,12.00,-1.10
2.4554214477539062,-3712.00,12864.00,10080.00,-735.00,-23.00,170.00,-1.10
2.5124621391296387,-3756.00,12808.00,10344.00,-601.00,18.00,276.00,-1.28
2.5691606998443604,-3576.00,12840.00,10156.00,-641.00,28.00,319.00,-1.34
2.6264567375183105,-3276.00,12884.00,9816.00,-642.00,28.00,214.00,-1.49
2.6842501163482666,-3300.00,12888.00,9576.00,-505.00,-18.00,89.00,-1.54
2.737549304962158,-3288.00,12696.00,9604.00,-643.00,-1.00,10.00,-1.60
2.7907655239105225,-3348.00,12892.00,9528.00,-839.00,3.00,-52.00,-1.49
2.8481173515319824,-3656.00,13012.00,9616.00,-1066.00,5.00,-79.00,-1.36
2.9062070846557617,-3724.00,12772.00,9864.00,-1065.00,-54.00,-5.00,-1.36
2.963142156600952,-3624.00,12916.00,10024.00,-1160.00,-12.00,95.00,-1.41
3.023592710494995,-3516.00,12760.00,10348.00,-1009.00,-11.00,160.00,-1.11
3.0771963596343994,-3588.00,12844.00,10428.00,-932.00,1.00,169.00,-1.42
3.1352121829986572,-3492.00,12784.00,10428.00,-719.00,29.00,133.00,-1.46
3.19214129447937,-3584.00,12900.00,10060.00,-574.00,21.00,99.00,-1.50
3.2490947246551514,-3616.00,12860.00,10108.00,-485.00,25.00,74.00,-1.37
3.302725076675415,-3432.00,12868.00,9860.00,-521.00,18.00,77.00,-1.27
3.360217571258545,-3584.00,12948.00,9556.00,-622.00,36.00,166.00,-1.27
3.4176905155181885,-3500.00,12704.00,9548.00,-754.00,59.00,156.00,-1.45
3.4740726947784424,-3516.00,12804.00,9648.00,-957.00,-42.00,140.00,-1.47
