T (ms),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
1.0,017564.00,-372.00,1348.00,-899.00,30.00,120.00,-0.91
2.0,17416.00,-356.00,1320.00,-887.00,28.00,128.00,-0.91
3.0,17512.00,-400.00,1304.00,-859.00,-18.00,100.00,-0.90
4.0,17552.00,-456.00,1356.00,-900.00,20.00,119.00,-0.90
5.0,17560.00,-396.00,1272.00,-891.00,15.00,115.00,-0.90
6.0,17556.00,-428.00,1312.00,-885.00,-1.00,107.00,-0.90
7.0,17552.00,-360.00,1212.00,-920.00,17.00,127.00,-1.20
8.0,17528.00,-384.00,1392.00,-886.00,28.00,84.00,-1.20
9.0,17588.00,-464.00,1332.00,-887.00,1.00,105.00,-0.76
10.0,17480.00,-416.00,1276.00,-878.00,-11.00,99.00,-1.13
11.0,17436.00,-428.00,1524.00,-930.00,-3.00,127.00,-0.80
12.0,17648.00,-492.00,1472.00,-846.00,23.00,57.00,-0.98
13.0,17524.00,-376.00,1460.00,-897.00,22.00,106.00,-0.98
14.0,17536.00,-420.00,1384.00,-872.00,-18.00,110.00,-0.72
15.0,17556.00,-324.00,1464.00,-880.00,22.00,113.00,-0.83
16.0,17476.00,-380.00,1304.00,-862.00,-11.00,120.00,-0.71
17.0,17448.00,-388.00,1312.00,-905.00,15.00,99.00,-0.82
18.0,17520.00,-392.00,1328.00,-895.00,-7.00,106.00,-1.00
19.0,17424.00,-460.00,1304.00,-856.00,-26.00,109.00,-1.00
20.0,17552.00,-348.00,1300.00,-883.00,7.00,115.00,-0.67
21.0,17580.00,-484.00,1316.00,-885.00,-16.00,118.00,-0.69
22.0,17552.00,-552.00,1336.00,-897.00,9.00,134.00,-0.90
23.0,17540.00,-540.00,1288.00,-901.00,15.00,127.00,-0.70
24.0,17488.00,-412.00,1408.00,-859.00,-6.00,99.00,-0.76
25.0,17516.00,-460.00,1328.00,-861.00,-40.00,127.00,-0.88
26.0,17596.00,-512.00,1384.00,-860.00,1.00,113.00,-0.88
27.0,17488.00,-336.00,1428.00,-873.00,-14.00,118.00,-0.88
28.0,17636.00,-356.00,1188.00,-882.00,53.00,103.00,-0.92
29.0,17596.00,-380.00,1456.00,-869.00,6.00,115.00,-0.95
30.0,17496.00,-436.00,1328.00,-871.00,-6.00,110.00,-0.89
31.0,17496.00,-396.00,1412.00,-869.00,5.00,101.00,-0.80
32.0,17540.00,-380.00,1480.00,-877.00,-7.00,87.00,-0.80
33.0,17560.00,-340.00,1284.00,-861.00,-16.00,113.00,-0.82
34.0,17464.00,-444.00,1188.00,-874.00,-14.00,107.00,-0.90
35.0,17604.00,-380.00,1380.00,-887.00,22.00,106.00,-0.83
36.0,17560.00,-424.00,1332.00,-882.00,5.00,107.00,-0.81
37.0,17604.00,-456.00,1292.00,-905.00,6.00,102.00,-0.79
38.0,17544.00,-480.00,1328.00,-870.00,7.00,115.00,-0.79
39.0,17532.00,-428.00,1352.00,-893.00,16.00,110.00,-0.71
40.0,17568.00,-444.00,1344.00,-886.00,8.00,119.00,-0.87
41.0,17496.00,-424.00,1396.00,-893.00,1.00,121.00,-0.60
42.0,17484.00,-352.00,1388.00,-868.00,-15.00,100.00,-0.97
43.0,17456.00,-376.00,1372.00,-866.00,-2.00,103.00,-1.20
44.0,17488.00,-512.00,1316.00,-891.00,-4.00,103.00,-0.69
45.0,17540.00,-444.00,1380.00,-877.00,38.00,111.00,-0.69
46.0,17508.00,-392.00,1200.00,-849.00,-18.00,111.00,-0.74
47.0,17504.00,-476.00,1248.00,-855.00,-18.00,95.00,-0.79
48.0,17552.00,-380.00,1372.00,-871.00,-24.00,119.00,-0.61
49.0,17496.00,-456.00,1264.00,-878.00,-22.00,94.00,-1.00
50.0,17516.00,-352.00,1240.00,-888.00,15.00,129.00,-0.79
51.0,17548.00,-384.00,1360.00,-894.00,27.00,118.00,-0.79
52.0,17476.00,-436.00,1200.00,-904.00,-23.00,137.00,-0.87
53.0,17552.00,-456.00,1432.00,-858.00,19.00,108.00,-0.79
54.0,17568.00,-496.00,1392.00,-889.00,-1.00,101.00,-0.77
55.0,17468.00,-420.00,1424.00,-863.00,6.00,111.00,-0.89
56.0,17516.00,-388.00,1488.00,-874.00,-11.00,116.00,-0.69
57.0,17500.00,-396.00,1484.00,-859.00,5.00,121.00,-1.02
58.0,17472.00,-400.00,1412.00,-869.00,-13.00,113.00,-1.02
59.0,17504.00,-424.00,1308.00,-891.00,26.00,106.00,-0.77
60.0,17552.00,-412.00,1268.00,-899.00,-11.00,97.00,-0.77
61.0,17540.00,-448.00,1508.00,-861.00,-2.00,99.00,-0.89
62.0,17444.00,-484.00,1308.00,-863.00,-18.00,114.00,-0.68
63.0,17512.00,-420.00,1376.00,-869.00,4.00,106.00,-0.84
64.0,17464.00,-388.00,1304.00,-921.00,54.00,104.00,-0.84
65.0,17580.00,-476.00,1360.00,-895.00,11.00,111.00,-0.79
66.0,17460.00,-348.00,1364.00,-860.00,-28.00,114.00,-0.78
67.0,17500.00,-360.00,1464.00,-865.00,-7.00,138.00,-0.76
68.0,17488.00,-408.00,1352.00,-896.00,-8.00,93.00,-1.06
69.0,17516.00,-380.00,1404.00,-866.00,2.00,124.00,-0.86
70.0,17488.00,-384.00,1420.00,-883.00,-4.00,109.00,-0.73
71.0,17500.00,-408.00,1460.00,-884.00,7.00,122.00,-0.76
72.0,17540.00,-432.00,1360.00,-868.00,14.00,99.00,-0.88
73.0,17536.00,-436.00,1316.00,-871.00,-22.00,113.00,-0.91
74.0,17536.00,-420.00,1380.00,-862.00,-9.00,111.00,-0.90
75.0,17524.00,-508.00,1308.00,-868.00,2.00,102.00,-0.89
76.0,17452.00,-404.00,1288.00,-934.00,18.00,152.00,-0.88
77.0,17524.00,-420.00,1412.00,-926.00,51.00,131.00,-0.88
78.0,17500.00,-436.00,1236.00,-884.00,-2.00,109.00,-0.73
79.0,17416.00,-436.00,1308.00,-832.00,-44.00,117.00,-0.98
80.0,17556.00,-336.00,1356.00,-857.00,-20.00,113.00,-0.92
81.0,17616.00,-436.00,1240.00,-869.00,-9.00,118.00,-0.92
82.0,17452.00,-456.00,1348.00,-874.00,-21.00,130.00,-0.88
83.0,17480.00,-436.00,1320.00,-854.00,-44.00,99.00,-0.88
84.0,17528.00,-396.00,1308.00,-882.00,4.00,116.00,-0.56
85.0,17520.00,-492.00,1436.00,-869.00,1.00,91.00,-0.87
86.0,17560.00,-436.00,1480.00,-863.00,5.00,107.00,-0.61
87.0,17500.00,-508.00,1480.00,-882.00,17.00,116.00,-0.81
88.0,17476.00,-472.00,1344.00,-912.00,2.00,132.00,-0.99
89.0,17680.00,-352.00,1484.00,-864.00,-3.00,87.00,-0.77
90.0,17440.00,-432.00,1320.00,-893.00,20.00,121.00,-0.77
91.0,17452.00,-456.00,1360.00,-898.00,26.00,110.00,-0.99
92.0,17508.00,-388.00,1408.00,-897.00,-7.00,108.00,-0.86
93.0,17568.00,-328.00,1332.00,-879.00,8.00,113.00,-1.07
94.0,17608.00,-344.00,1388.00,-912.00,4.00,123.00,-1.14
95.0,17460.00,-400.00,1340.00,-939.00,27.00,133.00,-1.22
96.0,17460.00,-484.00,1424.00,-933.00,27.00,135.00,-1.22
97.0,17484.00,-448.00,1356.00,-883.00,-18.00,96.00,-0.92
98.0,17552.00,-476.00,1340.00,-864.00,-21.00,97.00,-0.86
99.0,17492.00,-468.00,1348.00,-891.00,9.00,123.00,-0.81
100.0,17492.00,-376.00,1352.00,-863.00,5.00,112.00,-0.76
101.0,17444.00,-456.00,1256.00,-890.00,3.00,101.00,-0.72
102.0,17524.00,-352.00,1320.00,-856.00,10.00,125.00,-0.72
103.0,17572.00,-404.00,1340.00,-880.00,14.00,110.00,-0.97
104.0,17532.00,-404.00,1316.00,-872.00,26.00,116.00,-0.75
105.0,17520.00,-404.00,1320.00,-855.00,-49.00,81.00,-0.71
106.0,17496.00,-468.00,1332.00,-879.00,11.00,122.00,-0.95
107.0,17588.00,-504.00,1484.00,-894.00,20.00,114.00,-1.11
108.0,17480.00,-388.00,1364.00,-801.00,12.00,111.00,-1.11
109.0,17448.00,-352.00,1428.00,-871.00,-5.00,120.00,-1.02
110.0,17484.00,-368.00,1352.00,-876.00,-2.00,119.00,-0.72
111.0,17540.00,-380.00,1320.00,-850.00,0.00,97.00,-0.75
112.0,17516.00,-388.00,1232.00,-895.00,-19.00,131.00,-0.94
113.0,17512.00,-448.00,1380.00,-894.00,-5.00,109.00,-0.68
114.0,17528.00,-524.00,1240.00,-823.00,-20.00,121.00,-0.68
115.0,17576.00,-448.00,1344.00,-881.00,1.00,108.00,-0.83
116.0,17512.00,-420.00,1296.00,-873.00,19.00,108.00,-0.89
117.0,17504.00,-296.00,1432.00,-898.00,-3.00,99.00,-0.70
118.0,17520.00,-476.00,1324.00,-880.00,13.00,108.00,-0.90
119.0,17488.00,-376.00,1328.00,-913.00,60.00,116.00,-0.83
120.0,17588.00,-532.00,1292.00,-912.00,21.00,112.00,-0.93
121.0,17532.00,-388.00,1260.00,-863.00,3.00,110.00,-0.93
122.0,17540.00,-420.00,1284.00,-874.00,-1.00,112.00,-0.83
123.0,17604.00,-464.00,1300.00,-862.00,-10.00,101.00,-1.00
