t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
1.986340045928955,17464.00,-180.00,-960.00,-780.00,28.00,309.00,-1.89
2.0811266899108887,17368.00,-344.00,-1152.00,-1027.00,1.00,28.00,-1.93
2.1112711429595947,17384.00,-264.00,-1028.00,-956.00,0.00,27.00,-1.93
2.1538989543914795,17452.00,-212.00,-1068.00,-865.00,-31.00,107.00,-1.93
2.2114474773406982,17476.00,-156.00,-1208.00,-749.00,33.00,165.00,-1.68
2.26471209526062,17492.00,-172.00,-1140.00,-854.00,86.00,163.00,-1.68
2.3222134113311768,17340.00,-172.00,-1064.00,-958.00,7.00,232.00,-1.68
2.375866651535034,17396.00,-260.00,-1040.00,-756.00,0.00,-42.00,-2.02
2.4328806400299072,17356.00,-100.00,-1380.00,-958.00,47.00,227.00,-1.98
2.4902307987213135,17280.00,-336.00,-1008.00,-904.00,145.00,182.00,-1.82
2.5475852489471436,17344.00,-224.00,-1000.00,-832.00,-83.00,147.00,-1.82
2.600571870803833,17512.00,-468.00,-1420.00,-869.00,39.00,291.00,-1.88
2.6581671237945557,17428.00,-360.00,-964.00,-1021.00,68.00,139.00,-1.89
2.7155280113220215,17492.00,-272.00,-1124.00,-790.00,58.00,303.00,-1.50
2.7685399055480957,17344.00,-192.00,-892.00,-842.00,65.00,61.00,-1.59
2.8254916667938232,17424.00,-284.00,-1104.00,-756.00,-133.00,136.00,-1.64
2.8830277919769287,17428.00,-432.00,-1232.00,-820.00,-225.00,94.00,-1.82
2.9402413368225098,17516.00,-32.00,-1192.00,-853.00,145.00,99.00,-1.82
2.9941368103027344,17348.00,-184.00,-948.00,-946.00,-95.00,-70.00,-1.85
3.050823450088501,17272.00,36.00,-1148.00,-743.00,11.00,310.00,-1.70
3.108628988265991,17512.00,-316.00,-1336.00,-1046.00,-118.00,-146.00,-1.88
3.166347026824951,17504.00,-252.00,-1088.00,-783.00,52.00,360.00,-1.72
3.2235019207000732,17412.00,-292.00,-1152.00,-1029.00,99.00,-53.00,-1.81
3.2806396484375,17324.00,-328.00,-1008.00,-725.00,27.00,294.00,-1.60
3.3378257751464844,17392.00,-204.00,-1024.00,-932.00,-54.00,129.00,-1.60
3.3916242122650146,17236.00,-272.00,-1192.00,-915.00,-14.00,37.00,-1.69
3.448246479034424,17408.00,-312.00,-1184.00,-881.00,74.00,209.00,-1.70
3.5016021728515625,17292.00,-360.00,-896.00,-943.00,47.00,199.00,-1.88
3.5629184246063232,17308.00,-164.00,-1092.00,-777.00,-148.00,-38.00,-1.70
3.616708755493164,17580.00,-344.00,-1292.00,-780.00,43.00,138.00,-1.81
3.673769950866699,17420.00,-124.00,-1128.00,-811.00,153.00,-46.00,-1.92
3.7314698696136475,17312.00,-300.00,-920.00,-819.00,138.00,176.00,-1.81
3.7840938568115234,17356.00,-276.00,-1060.00,-975.00,64.00,56.00,-1.81
3.841520309448242,17500.00,-276.00,-936.00,-836.00,5.00,263.00,-1.73
3.899184465408325,17456.00,-236.00,-1060.00,-1018.00,-124.00,-28.00,-1.57
3.9559175968170166,17388.00,-432.00,-1052.00,-1119.00,-14.00,154.00,-1.94
4.017605781555176,17512.00,-452.00,-1124.00,-1318.00,-289.00,-89.00,-1.50
4.074811935424805,17292.00,-172.00,-1024.00,-1112.00,-42.00,175.00,-1.93
4.136794805526733,17472.00,-288.00,-1028.00,-1552.00,-256.00,-477.00,-2.01
4.189194917678833,17312.00,36.00,-1092.00,-1243.00,-40.00,150.00,-2.01
4.251341342926025,17472.00,-216.00,-1008.00,-1597.00,-313.00,-144.00,-1.77
4.308824777603149,17528.00,48.00,-1256.00,-1156.00,-110.00,-40.00,-1.64
4.365696907043457,17540.00,32.00,-1280.00,-1901.00,-414.00,407.00,-1.53
4.423449516296387,17384.00,-64.00,-1236.00,-1840.00,-591.00,765.00,-1.91
4.484571695327759,17244.00,-160.00,-1460.00,-1561.00,-297.00,541.00,-1.78
4.541884660720825,17464.00,-100.00,-1448.00,-1198.00,-237.00,411.00,-1.91
4.598954916000366,17452.00,-56.00,-1428.00,-977.00,90.00,299.00,-1.90
4.656858682632446,17180.00,-380.00,-1216.00,-951.00,-161.00,79.00,-1.69
4.713768005371094,17460.00,-192.00,-1600.00,-1191.00,-229.00,23.00,-1.80
4.771365642547607,17156.00,-588.00,-1500.00,-947.00,-408.00,28.00,-1.80
4.832289218902588,17332.00,108.00,-1548.00,-1158.00,-1328.00,-1149.00,-1.77
4.890548467636108,17152.00,-596.00,-656.00,-940.00,-1971.00,-608.00,-1.66
4.951221227645874,17180.00,220.00,-2188.00,-1257.00,-1751.00,-1066.00,-1.71
5.00888466835022,17536.00,200.00,-2972.00,-742.00,-376.00,121.00,-1.84
5.065899848937988,17416.00,144.00,-2624.00,-1448.00,-162.00,37.00,-1.85
5.124109268188477,17336.00,752.00,-1920.00,-1279.00,160.00,-219.00,-2.08
5.181760549545288,16960.00,296.00,-1908.00,-1788.00,221.00,-120.00,-2.07
5.238011837005615,17312.00,476.00,-2024.00,-1130.00,278.00,311.00,-1.89
5.296023368835449,17304.00,628.00,-1584.00,-1050.00,316.00,705.00,-1.89
5.3567070960998535,16924.00,-784.00,-1780.00,1840.00,-387.00,1774.00,-1.82
5.414664030075073,17312.00,124.00,-2620.00,-2859.00,-887.00,1928.00,-1.50
5.475860357284546,17396.00,-288.00,-3012.00,-887.00,-441.00,2614.00,-1.62
5.533179044723511,17232.00,-608.00,-2784.00,-3742.00,200.00,112.00,-1.74
5.590535402297974,17116.00,-84.00,-2196.00,-758.00,422.00,1257.00,-1.73
5.651855707168579,16992.00,-1264.00,-2340.00,-1627.00,-706.00,3452.00,-1.97
5.709375619888306,16856.00,-936.00,-2192.00,-894.00,132.00,1643.00,-1.82
5.766894578933716,17240.00,-1600.00,-2436.00,875.00,148.00,2559.00,-1.88
5.827847957611084,17336.00,-1964.00,-3080.00,3060.00,1545.00,3000.00,-1.88
5.889540672302246,16676.00,-3204.00,-2556.00,1391.00,4943.00,6713.00,-1.68
5.947057485580444,16812.00,-3584.00,-2472.00,1181.00,5008.00,5692.00,-1.66
6.007795095443726,17276.00,-3256.00,-2024.00,2491.00,9810.00,2078.00,-1.66
6.070627212524414,16688.00,-4988.00,2044.00,6279.00,11857.00,-2336.00,-1.70
6.131637811660767,17396.00,-2804.00,2060.00,2077.00,13910.00,-6930.00,-1.54
6.192478179931641,16808.00,-1900.00,5704.00,1329.00,9603.00,-1039.00,-1.97
6.254201889038086,15756.00,-2688.00,7916.00,3226.00,7820.00,-4545.00,-1.80
6.311481475830078,17228.00,-940.00,7780.00,-5143.00,102.00,-4974.00,-1.83
6.368360280990601,16720.00,-2680.00,6568.00,-2280.00,-957.00,416.00,-1.99
6.430102109909058,16396.00,-2616.00,6256.00,-2376.00,-723.00,-1008.00,-1.99
6.488096237182617,16948.00,-1580.00,6164.00,-297.00,719.00,169.00,-2.02
6.544668197631836,16992.00,-1296.00,6584.00,-503.00,339.00,206.00,-1.64
6.606048822402954,16692.00,-1072.00,6580.00,-500.00,-84.00,-176.00,-1.64
6.663967609405518,16676.00,-932.00,6712.00,-1525.00,-882.00,-641.00,-1.64
6.721480846405029,16828.00,-1164.00,6188.00,-797.00,-42.00,154.00,-1.83
6.778345108032227,16476.00,-1280.00,6744.00,-177.00,245.00,607.00,-1.42
6.835733890533447,16452.00,-1300.00,6412.00,-820.00,69.00,-338.00,-1.57
6.893513202667236,16696.00,-884.00,6656.00,-227.00,178.00,440.00,-1.57
6.949003219604492,16532.00,-528.00,6260.00,-516.00,147.00,-348.00,-1.46
7.00731635093689,16736.00,-1160.00,6136.00,-766.00,-273.00,167.00,-1.88
